budget,homepage,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,vote_average,vote_count,movie_type,production_house,country,country _code
380000000,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,14-May-11,1045713802,136,Released,Live Forever Or Die Trying.,6.4,4948,"Adventure, Action, Fantasy",Walt Disney Pictures,United States of America,US
300000000,http://disney.go.com/disneypictures/pirates/,285,en,Pirates of the Caribbean: At World's End,139.082615,19-May-07,961000000,169,Released,"At the end of the world, the adventure begins.",6.9,4500,"Adventure, Fantasy, Action",Walt Disney Pictures,United States of America,US
280000000,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,en,Avengers: Age of Ultron,134.279229,22-Apr-15,1405403694,141,Released,A New Age Has Come.,7.3,6767,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,US
270000000,http://www.superman.com,1452,en,Superman Returns,57.925623,28-Jun-06,391081192,154,Released,,5.4,1400,"Adventure, Fantasy, Action, Science Fiction",DC Comics,United States of America,US
260000000,http://movies.disney.com/john-carter,49529,en,John Carter,43.926995,07-Mar-12,284139100,132,Released,"Lost in our world, found in another.",6.1,2124,"Action, Adventure, Science Fiction",Walt Disney Pictures,United States of America,US
260000000,http://disney.go.com/disneypictures/tangled/,38757,en,Tangled,48.681969,24-Nov-10,591794936,100,Released,They're taking adventure to new lengths.,7.4,3330,"Animation, Family",Walt Disney Pictures,United States of America,US
258000000,http://www.sonypictures.com/movies/spider-man3/,559,en,Spider-Man 3,115.699814,01-May-07,890871626,139,Released,The battle within.,5.9,3576,"Fantasy, Action, Adventure",Columbia Pictures,United States of America,US
255000000,http://disney.go.com/the-lone-ranger/,57201,en,The Lone Ranger,49.046956,03-Jul-13,89289910,149,Released,Never Take Off the Mask,5.9,2311,"Action, Adventure, Western",Walt Disney Pictures,United States of America,US
250000000,http://www.thehobbit.com/,49051,en,The Hobbit: An Unexpected Journey,108.849621,26-Nov-12,1021103568,169,Released,From the smallest beginnings come the greatest legends.,7,8297,"Adventure, Fantasy, Action",WingNut Films,New Zealand,NZ
250000000,http://www.thehobbit.com/,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,10-Dec-14,956019788,144,Released,Witness the defining chapter of the Middle-Earth saga,7.1,4760,"Action, Adventure, Fantasy",WingNut Films,New Zealand,NZ
250000000,http://www.thehobbit.com/,57158,en,The Hobbit: The Desolation of Smaug,94.370564,11-Dec-13,958400000,161,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,4524,"Adventure, Fantasy",WingNut Films,New Zealand,NZ
250000000,http://www.x-menmovies.com/,127585,en,X-Men: Days of Future Past,118.078691,15-May-14,747862775,131,Released,"To save the future, they must alter the past",7.5,6032,"Action, Adventure, Fantasy, Science Fiction",Twentieth Century Fox Film Corporation,United Kingdom,GB
250000000,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,en,Harry Potter and the Half-Blood Prince,98.885637,07-Jul-09,933959197,153,Released,Dark Secrets Revealed,7.4,5293,"Adventure, Fantasy, Family",Warner Bros.,United Kingdom,GB
250000000,http://www.thedarkknightrises.com/,49026,en,The Dark Knight Rises,112.31295,16-Jul-12,1084939099,165,Released,The Legend Ends,7.6,9106,"Action, Crime, Drama, Thriller",Legendary Pictures,United States of America,US
250000000,http://www.batmanvsupermandawnofjustice.com/,209112,en,Batman v Superman: Dawn of Justice,155.790452,23-Mar-16,873260194,151,Released,Justice or revenge,5.7,7004,"Action, Adventure, Fantasy",DC Comics,United States of America,US
250000000,http://marvel.com/captainamericapremiere,271110,en,Captain America: Civil War,198.372395,27-Apr-16,1153304495,147,Released,Divided We Fall,7.1,7241,"Adventure, Action, Science Fiction",Studio Babelsberg,United States of America,US
245000000,http://www.sonypictures.com/movies/spectre/,206647,en,Spectre,107.376788,26-Oct-15,880674609,148,Released,A Plan No One Escapes,6.3,4466,"Action, Adventure, Crime",Columbia Pictures,United Kingdom,GB
237000000,http://www.avatarmovie.com/,19995,en,Avatar,150.437577,10-Dec-09,2787965087,162,Released,Enter the World of Pandora.,7.2,11800,"Action, Adventure, Fantasy, Science Fiction",Ingenious Film Partners,United States of America,US
225000000,,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,15-May-08,419651413,150,Released,Hope has a new face.,6.3,1630,"Adventure, Family, Fantasy",Walt Disney,Czech Republic,CZ
225000000,http://www.manofsteel.com/,49521,en,Man of Steel,99.398009,12-Jun-13,662845518,143,Released,You will believe that a man can fly.,6.5,6359,"Action, Adventure, Fantasy, Science Fiction",Legendary Pictures,United Kingdom,GB
225000000,http://www.sonypictures.com/movies/meninblack3/,41154,en,Men in Black 3,52.035179,23-May-12,624026776,106,Released,They are back... in time.,6.2,4160,"Action, Comedy, Science Fiction",Amblin Entertainment,United States of America,US
220000000,http://marvel.com/avengers_movie/,24428,en,The Avengers,144.448633,25-Apr-12,1519557910,143,Released,Some assembly required.,7.4,11776,"Science Fiction, Action, Adventure",Paramount Pictures,United States of America,US
215000000,http://www.theamazingspiderman.com,1930,en,The Amazing Spider-Man,89.866276,27-Jun-12,752215857,136,Released,The untold story begins.,6.5,6586,"Action, Adventure, Fantasy",Columbia Pictures,United States of America,US
210000000,,36668,en,X-Men: The Last Stand,3.857526,24-May-06,459359555,104,Released,Take a Stand,6.3,3525,"Adventure, Action, Science Fiction, Thriller",Ingenious Film Partners,Canada,CA
210000000,http://www.transformersmovie.com,91314,en,Transformers: Age of Extinction,116.840296,25-Jun-14,1091405097,165,Released,This is not war. It's extinction.,5.8,3095,"Science Fiction, Action, Adventure",Paramount Pictures,United States of America,US
209000000,,44833,en,Battleship,64.928382,11-Apr-12,303025485,131,Released,The Battle for Earth Begins at Sea,5.5,2114,"Thriller, Action, Adventure, Science Fiction",Universal Pictures,United States of America,US
207000000,,254,en,King Kong,61.22601,14-Dec-05,550000000,187,Released,The eighth wonder of the world.,6.6,2337,"Adventure, Drama, Action",WingNut Films,New Zealand,NZ
200000000,,62211,en,Monsters University,89.186492,20-Jun-13,743559607,104,Released,School never looked this scary.,7,3528,"Animation, Family",Walt Disney Pictures,United States of America,US
200000000,,296,en,Terminator 3: Rise of the Machines,69.405188,02-Jul-03,435000000,109,Released,The Machines Will Rise.,5.9,2143,"Action, Thriller, Science Fiction",Columbia Pictures,Germany,DE
200000000,https://www.warnerbros.com/terminator-salvation,534,en,Terminator Salvation,71.862892,20-May-09,371353001,115,Released,The End Begins.,5.9,2463,"Action, Science Fiction, Thriller",Columbia Pictures,Germany,DE
200000000,http://www.sonypictures.com/movies/2012,14161,en,2012,45.274225,10-Oct-09,769653595,158,Released,We Were Warned.,5.6,4903,"Action, Adventure, Science Fiction",Columbia Pictures,Canada,CA
200000000,http://marvel.com/ironman3,68721,en,Iron Man 3,77.68208,18-Apr-13,1215439994,130,Released,Unleash the power behind the armor.,6.8,8806,"Action, Adventure, Science Fiction",Marvel Studios,China,CN
200000000,http://disney.go.com/disneypictures/pirates/,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,20-Jun-06,1065659812,151,Released,Jack is back!,7,5246,"Adventure, Fantasy, Action",Walt Disney Pictures,Jamaica,JM
200000000,http://www.skyfall-movie.com,37724,en,Skyfall,93.004993,25-Oct-12,1108561013,143,Released,Think on your sins.,6.9,7604,"Action, Adventure, Thriller",Columbia Pictures,United Kingdom,GB
200000000,http://www.robinhoodthemovie.com/,20662,en,Robin Hood,37.668301,12-May-10,310669540,140,Released,"Rise and rise again, until lambs become lions.",6.2,1398,"Action, Adventure",Imagine Entertainment,United Kingdom,GB
